,Venue,Venue Latitude,Venue Longitude,Venue Category
2852,Taco Bell Cantina,40.75298858903024,-73.9929354812896,Fast Food Restaurant
2853,Joel Salsa NY,40.75331376823296,-73.9927203963131,Dance Studio
2854,Piel Canela Dancers,40.75308264674105,-73.99279678677793,Dance Studio
2855,The Tank,40.75359586395872,-73.99338763824774,Indie Theater
2856,Banana Skirt Productions,40.75312396158932,-73.99279318487248,Dance Studio
2857,Culture 36,40.753075,-73.991281,Coffee Shop
2858,Pearl Studios,40.75314083576866,-73.99282594888213,Dance Studio
2859,Manhattan iPhone Repair,40.75209302179819,-73.99123549461365,Electronics Store
2860,Market Crates,40.751985455839616,-73.99124277111089,Breakfast Spot
2861,TDF (Theatre Development Fund),40.75374469296047,-73.99175780205297,Theater
2863,Ripley-Grier Studios,40.75369161218039,-73.99229223486273,Dance Studio
2864,Crossfit Hell's Kitchen,40.75385542742043,-73.99338177687183,Gym
2866,CVS pharmacy,40.75207144056197,-73.993602233955,Pharmacy
2871,Vans Off The Wall,40.750377145408955,-73.98971583024594,Shoe Store
2873,Café D’Avignon,40.752258,-73.989256,Bakery
2876,SEPHORA,40.749984424151904,-73.98877836747647,Cosmetics Shop
2887,Pandora,40.749279828789035,-73.9882120532989,Jewelry Store
2891,Lush,40.74928083533018,-73.98710757493973,Cosmetics Shop
2897,UNIQLO,40.74918189296886,-73.98674986627887,Clothing Store
2916,Best Bagel & Coffee,40.752168,-73.991066,Bagel Shop
2918,Renaissance New York Midtown Hotel,40.7517557767437,-73.99108857423971,Hotel
2920,Shake Shack,40.750954417203445,-73.99127483494439,Burger Joint
2922,MOXY NYC Times Square,40.7523884,-73.9893843,Hotel
2923,The Pennsy Bar,40.750539610005674,-73.99161531905555,Sports Bar
2924,"The Langham, New York, Fifth Avenue",40.7501438,-73.9835325,Hotel
2925,Fine & Rare,40.75001639767164,-73.98235629921271,New American Restaurant
2926,Xi'an Famous Foods,40.74816543859803,-73.9840025346209,Chinese Restaurant
2927,Star Watch Service - Watch Repair in New York,40.74926792758857,-73.98446928068036,Watch Shop
2928,Poketeria,40.749567043297816,-73.98326915386704,Poke Place
2929,Midtown Lashes,40.749397,-73.984565,Spa
2930,Amazon Books,40.748609916780424,-73.98547898902387,Bookstore
2931,Ai Fiori,40.7500752,-73.9837835,Italian Restaurant
2932,Tonchin,40.7501181574078,-73.98465198548409,Ramen Restaurant
2933,Yoon Haeundae Galbi,40.75002471039525,-73.98442243485513,Korean Restaurant
2934,The Ginger Man,40.749354555307214,-73.98279347884746,Bar
2935,Potbelly Sandwich Shop,40.74906493267427,-73.98445465856128,Sandwich Place
2936,The Morgan Library & Museum,40.74930521896097,-73.9814293384552,Museum
2937,Café China,40.7499796904135,-73.98223427700086,Chinese Restaurant
2940,Community Church of New York (CCNY) - Unitarian Universalist,40.74802781801001,-73.9815726397407,Event Space
2942,Piccolo Cafe,40.749868248594524,-73.98146694599146,Italian Restaurant
2943,Ippodo Tea Co.,40.749757350648515,-73.9777326596245,Tea Room
2944,Kajitsu,40.74976283974211,-73.97768769032828,Japanese Restaurant
2945,The Raines Law Room at The William,40.750487,-73.980146,Speakeasy
2947,Bedford & Co.,40.75040323863846,-73.97744945542509,Restaurant
2951,"The Renwick Hotel, Curio Collection by Hilton",40.7501843,-73.9776037,Hotel
2953,Zuma New York,40.75052689410716,-73.980782390213,Japanese Restaurant
2954,The William,40.7506733156513,-73.9800774301285,Hotel
2957,Scandinavia House,40.74928342395154,-73.97980868514539,Cultural Center
2958,The Kitano Hotel New York,40.74956656240437,-73.97967286535889,Hotel
2959,Park Avenue Tavern,40.75021246689691,-73.97868967857357,Bar
2964,Sushi Ryusei,40.748354,-73.97520300000001,Sushi Restaurant
2965,Sons of Thunder,40.74797027402464,-73.97575060170206,Hawaiian Restaurant
2966,Tempura Matsui,40.7484611562686,-73.97497442973443,Japanese Restaurant
2967,Blink Fitness,40.749334,-73.975913,Gym
2968,Pod 39 Rooftop Bar,40.749300142910926,-73.97670163802239,Cocktail Bar
2969,Pod 39 Hotel,40.749334153452835,-73.97660833694302,Hotel
2971,The Pho 5,40.748838,-73.97621099999999,Vietnamese Restaurant
2972,Bon Bon Salon & Spa,40.748047122668254,-73.97642636939408,Salon / Barbershop
2973,Delectica,40.74811642380029,-73.9764454132702,Café
2974,City Beer,40.7486191,-73.97570259999999,Bar
2975,Ratatouille (Chicken Provence),40.749111954189345,-73.97621366887762,French Restaurant
2976,Caffe Bene,40.748874903335945,-73.97591800631133,Café
2977,Docks Oyster Bar,40.74948275836188,-73.97547112423915,Seafood Restaurant
2979,El Rio Grande,40.7483183175233,-73.97645583548294,Mexican Restaurant
2980,Orangetheory Fitness,40.749005866915496,-73.97580392634383,Gym / Fitness Center
2981,wagamama,40.74887763040507,-73.97544168320121,Asian Restaurant
2992,Zucker's Bagels & Smoked Fish,40.75053251798501,-73.97686735767212,Bagel Shop
2995,Momosan Ramen & Sake,40.749953,-73.977184,Ramen Restaurant
2996,Muji,40.7538399579729,-73.99995618289434,Furniture / Home Store
2997,Whole Foods Market,40.753496,-73.998658,Grocery Store
2998,Four Points by Sheraton Manhattan Midtown West,40.754998,-73.998427,Hotel
2999,Avant Gallery,40.753879,-74.000116,Art Gallery
3000,Van Leeuwen Ice Cream,40.753366,-74.001127,Ice Cream Shop
3001,Old Country Coffee,40.75437106839111,-73.99872690610927,Café
3002,SEPHORA,40.75355562386844,-74.00092595337298,Cosmetics Shop
3003,Citarella,40.7534613,-74.0008205,Gourmet Shop
3004,Hudson Yards Grill,40.754067574309964,-74.00054365922223,American Restaurant
3005,34th Street Wine and Spirits,40.754059999999996,-73.999009,Wine Shop
3006,Milos Wine Bar,40.75337528,-74.00106395,Wine Bar
3007,Kiehl's,40.7533333,-74.0006069,Cosmetics Shop
3008,Kate Spade,40.753297,-74.001,Accessories Store
3009,Tory Burch,40.753423,-74.000721,Accessories Store
3010,H&M,40.753526690760204,-74.0008965181187,Clothing Store
3011,Bluestone Lane,40.7534613,-74.0008205,Café
3012,H&M,40.7529363,-74.0008508,Clothing Store
3013,UNIQLO,40.753895,-74.001199,Clothing Store
3014,Belcampo,40.753944053810436,-74.000779453749,Steakhouse
3015,Van Cleef & Arpels,40.7536355,-74.0011967,Jewelry Store
3018,Victoria's Secret PINK,40.74996590611891,-73.98782662608579,Lingerie Store
3020,Gucci,40.750307,-73.988412,Leather Goods Store
3022,American Cancer Society Hope Lodge,40.74899538329225,-73.99009064056791,Event Space
3024,Friedman's,40.74862619294944,-73.99028324745854,American Restaurant
3026,Target,40.750245,-73.989309,Big Box Store
3027,Herald Square,40.750060647717156,-73.98790697209414,Plaza
3028,Stella 34 Trattoria,40.75036011,-73.98833372,Italian Restaurant
3029,Jack's.,40.748642912888236,-73.98946131021954,Discount Store
3030,Old Navy,40.75019,-73.9902616,Clothing Store
3031,Greeley Square,40.74857868650776,-73.98840330561364,Park
3032,ThinkGeek,40.749069561634315,-73.98825011166373,Toy / Game Store
3033,Pret A Manger,40.748611711277356,-73.98901728920406,Sandwich Place
3034,Martinez Handmade Cigars,40.74776908936027,-73.9926847838664,Smoke Shop
3035,Renzo Gracie Academy,40.748975450528924,-73.99367798722173,Boxing Gym
3036,Sprinkles Cupcakes (Kiosk),40.750058,-73.991504,Cupcake Shop
3037,Krispy Kreme Doughnuts,40.74999,-73.992149,Donut Shop
3038,Penn Sushi,40.750085490425846,-73.99309158325195,Sushi Restaurant
3039,Foxy Fitness and Pole,40.74843014154783,-73.99233772770262,Gym / Fitness Center
3040,Erase Spa,40.748473986409046,-73.99252345521477,Spa
3041,Ken & Dana Design,40.749316,-73.993933,Jewelry Store
3042,Five Guys,40.7479506,-73.9926029,Burger Joint
3043,Dig,40.749295,-73.991467,American Restaurant
3044,sweetgreen,40.7487731,-73.99253,Salad Place
3045,Maison Kayser,40.7477318859394,-73.99287729714396,French Restaurant
3046,Bungalow 5 Showroom,40.749573338859186,-73.99283097040066,Furniture / Home Store
3047,Blink Fitness,40.748047017352285,-73.99095741364096,Gym
3048,Fresh & Co,40.74853,-73.99219,Salad Place
3049,MSG Store,40.750323541073584,-73.99226167539284,Sporting Goods Shop
3050,King’s Street Coffee,40.74777457216174,-73.99060579834321,Coffee Shop
3057,Nordstrom Rack,40.747839066727416,-73.98951872253753,Department Store
3060,Delta Sky360° Club,40.75056410809063,-73.99282357901902,Lounge
3069,Hooters,40.75045363658249,-73.99093606088142,American Restaurant
3072,Versa,40.75122966494565,-73.99155600167268,American Restaurant
3073,Don Pepi Delicatessen,40.750332824776194,-73.99347945959305,Deli / Bodega
3085,Gaonnuri,40.748089,-73.988073,Korean Restaurant
3095,Baekjeong NYC (Kang Ho Dong Baekjeong),40.74709879834891,-73.98519423416221,Korean Restaurant
3096,Jongro BBQ,40.747574,-73.987043,Korean Restaurant
3097,Empire State Building,40.7485995507123,-73.98580648682452,Building
3098,BCD Tofu House,40.747362,-73.985663,Korean Restaurant
3099,Keki Modern Cakes,40.74703291082798,-73.98508913978884,Bakery
3100,Grace Street Cafe,40.74770777348895,-73.98660781684485,Dessert Shop
3101,86th Floor Observation Deck,40.74844544481811,-73.98568124187432,Scenic Lookout
3102,E-Mo Kimbap,40.747264,-73.986221,Korean Restaurant
3104,H Mart Asian Supermarket,40.74808454598408,-73.9875030321688,Grocery Store
3106,Anytime Soju Bar and Eatery,40.74780808819708,-73.98679824648289,Korean Restaurant
3107,J.J. Hat Center,40.747013721749816,-73.98563427139067,Boutique
3111,Samwon Garden BBQ,40.74801,-73.98728,Korean Restaurant
3112,Soju Haus,40.746964,-73.985407,Korean Restaurant
3113,Woorijip,40.7476231963955,-73.98637205431945,Korean Restaurant
3114,Pocha 32,40.747634864616465,-73.98648664038662,Korean Restaurant
3115,Bb.q Olive Chicken,40.74786345453993,-73.98696541326319,Fried Chicken Joint
3116,Konbini,40.747074,-73.985931,Japanese Restaurant
3117,New Wonjo,40.74779978165289,-73.98684697596717,Korean Restaurant
3118,Five Senses,40.747551445649044,-73.98616661514991,Korean Restaurant
3119,Abiko Curry,40.74747461672708,-73.98608184163182,Japanese Restaurant
3120,Hong Chun Cheon 닭갈비,40.747406,-73.98609,Korean Restaurant
3121,Kung Fu Tea,40.747788296667096,-73.98627404662705,Bubble Tea Shop
3122,Gopchang Story,40.74719625836001,-73.98566625181945,Korean Restaurant
3123,Cafe M,40.747132032791235,-73.98520758626132,Café
3124,Pinkberry,40.74752,-73.986117,Frozen Yogurt Shop
3125,Tous Les Jours,40.747923074645605,-73.9871543940469,Bakery
3126,Food Gallery 32,40.74759182420299,-73.98628633061453,Food Court
3127,miss KOREA BBQ,40.747286,-73.98641,Korean Restaurant
3128,Besfren,40.747167697007974,-73.98533270255867,Dessert Shop
3129,Paris Baguette,40.747191,-73.986069,Bakery
3130,Juice Press,40.74795832536063,-73.98525379689323,Juice Bar
3131,BonChon Chicken,40.747578874127925,-73.98515536301889,Korean Restaurant
3133,Turntable LP Bar & Karaoke,40.74797358627224,-73.98723887516995,Korean Restaurant
3134,Mandoo Bar,40.74742071558225,-73.9859663825417,Korean Restaurant
3135,Panera Bread,40.74759698853601,-73.98545153439721,Bakery
3136,Tacombi,40.748443080374166,-73.9862565226273,Taco Place
3137,Smashburger,40.748158600458474,-73.98560391189687,Burger Joint
3138,Etc.,40.74799555079595,-73.98505861076816,Food Court
3139,누들 32 (Noona Noodles),40.74759715457322,-73.98629406406728,Korean Restaurant
3140,305 Fitness MIDTOWN,40.74679016051969,-73.98288534895833,Gym / Fitness Center
3141,Wolfgang's Steakhouse,40.746531281640806,-73.98195293767795,Steakhouse
3142,The Marmara Park Avenue,40.745412,-73.9815899,Resort
3143,New York Design Center,40.745460272300605,-73.98046429491397,Furniture / Home Store
3144,Franchia,40.74754904507587,-73.981123802193,Vegetarian / Vegan Restaurant
3145,Equinox Park Avenue,40.746093,-73.98135,Gym
3146,Villa Berulia,40.74686337158743,-73.98061952888928,Italian Restaurant
3147,Wine:34,40.74655786723145,-73.9800598729882,Mediterranean Restaurant
3148,Equinox Corporate Offices,40.745564610626204,-73.98168558340085,Gym
3149,Murray Hill Market,40.74639457940594,-73.97966102783904,Deli / Bodega
3151,Open Kitchen,40.74681171478884,-73.98293487467083,Restaurant
3152,Masala King,40.74718410480507,-73.98185309164937,North Indian Restaurant
3153,WRKNYC,40.74743158577544,-73.98216642890775,Gym / Fitness Center
3154,Hilton Garden Inn,40.746849,-73.9822311,Hotel
3155,Pret A Manger,40.74610215801135,-73.98206990777314,Sandwich Place
3156,Oasis Day Spa,40.74609814223831,-73.98196651239414,Spa
3157,The Long Hall Pub & Grocery,40.7472795,-73.9821619,Bar
3158,Exhale,40.746223,-73.98279,Spa
3159,Murray Hill Diner,40.745873578411214,-73.98017187604948,Diner
3160,sweetgreen,40.7463073,-73.9822359,Salad Place
3161,Chase Bank,40.74600318758116,-73.98245126008982,Bank
3163,Vezzo Thin Crust Pizza,40.74450945040423,-73.98117652160661,Pizza Place
3165,CrossFit Solace,40.74617150115289,-73.9831643795631,Gym / Fitness Center
3167,Atomix,40.74430561223837,-73.98294522012793,Korean Restaurant
3168,Tone House NOMAD,40.74553806650933,-73.98370324678638,Gym / Fitness Center
3170,Mondrian Park Avenue,40.74485689895831,-73.98335801719668,Hotel
3171,Felix Roasting Co.,40.745006,-73.983129,Coffee Shop
3173,Wine:30,40.74490969009571,-73.98388860895534,Wine Bar
3174,Spreads,40.744658594594114,-73.98309542131112,Sandwich Place
3175,Spice Symphony,40.74465192727096,-73.98101966797432,Indian Restaurant
3180,Rafiqi's Halal Food,40.74539292524589,-73.98235727948212,Food Truck
3182,Natureworks,40.74492545270643,-73.98203327257686,Salad Place
3184,Handsome Rice,40.744669,-73.981216,Korean Restaurant
3185,Mondrian Terrace,40.744747,-73.983362,Hotel Bar
3190,Tina's Cuban Cuisine,40.7474653967574,-73.98330692383087,Cuban Restaurant
3191,Her Name is Han,40.74606102395099,-73.98484169467278,Korean Restaurant
3193,Don's Bogam Korean BBQ & Wine,40.74678829586255,-73.9844435017486,Korean Restaurant
3195,Hangawi,40.746927213028606,-73.98477880483397,Vegetarian / Vegan Restaurant
3196,Fields Good Chicken,40.746441,-73.984247,American Restaurant
3197,Buttercup Bake Shop,40.74708083392004,-73.98363766959531,Bakery
3199,Bangia 반지하,40.74692240149892,-73.98477692181021,Korean Restaurant
3200,The Heights,40.74621862746088,-73.98500567047255,Hotel Bar
3208,Lamalo,40.74632,-73.984878,Middle Eastern Restaurant
3211,A.R.T NoMad (Arlo Roof Top),40.74635,-73.98494,Bar
3212,Captain Cafe,40.74721,-73.98423,Café
3213,Tap Haus 33,40.747191,-73.984178,Bar
3216,Crunch Fitness - 34th Street,40.74503265187938,-73.97710514599794,Gym / Fitness Center
3217,Fairway Market,40.74249894494305,-73.97748905715908,Grocery Store
3218,Rocky's Pizzeria,40.74438773517433,-73.97621099437404,Pizza Place
3219,AMC Kips Bay 15,40.74299751260637,-73.97721740773507,Multiplex
3220,Albion,40.7432855507594,-73.9771912485,Bar
3221,Clover Delicatessen,40.74480647559546,-73.97606588529051,Deli / Bodega
3222,Benjamin's,40.7441226630396,-73.97635401887962,Bar
3223,Chipotle Mexican Grill,40.74414352828854,-73.975871745998,Mexican Restaurant
3224,Kips Bay Towers Garden,40.74390340205732,-73.97562803855254,Garden
3225,Dunkin',40.74406067943012,-73.97664955800701,Donut Shop
3226,Hill And Bay,40.74346079031783,-73.9769368824317,American Restaurant
3227,Starbucks,40.74365595,-73.97696425,Coffee Shop
3228,TD Bank,40.7430381,-73.976784,Bank
3229,Kips Bay Wine And Liquor,40.743341254452844,-73.97695404929868,Liquor Store
3230,The Original Fresh Tortillas Grill,40.7431867352132,-73.97712136119436,Mexican Restaurant
3231,Bread & Butter,40.743550007350464,-73.97305016181384,Convenience Store
3232,sweetgreen,40.7442426,-73.9729059,Salad Place
3233,El Parador,40.74443861282,-73.97477971208335,Mexican Restaurant
3234,NY Bagels & Cafe,40.743526869918234,-73.97357160416001,Bagel Shop
3235,Starbucks,40.743544,-73.973853,Coffee Shop
3236,NYU Medical Center Student Cafeteria,40.74217679904016,-73.97346136756222,College Cafeteria
3238,The Gyro Shop,40.743773543043076,-73.9735922297467,Greek Restaurant
3239,Panini Cafe,40.74362,-73.97387,Café
3240,Lucky's Cafe,40.74373785662484,-73.97367288645415,Diner
3241,N.Y. Bagels & Cafe,40.743564,-73.973582,Bagel Shop
3242,Bus Stop #403359 - M34/M34A-SBS (Westbound),40.743873505565176,-73.9737906918353,Bus Stop
3243,The McKittrick Hotel,40.750946913735895,-74.00400887336662,Indie Theater
3244,Aperture Foundation: Bookstore and Gallery,40.751236482412665,-74.00448622459896,Art Gallery
3245,Sleep No More,40.75066865608879,-74.00381773710251,Theater
3246,Manderley Bar at the McKittrick Hotel,40.75088143704345,-74.00372349297209,Hotel Bar
3247,Gallow Green,40.750641713284836,-74.0042588444016,Lounge
3248,Metro Pictures,40.74881600586135,-74.00475339937361,Art Gallery
3249,Agora Gallery,40.74945569972229,-74.00458453963554,Art Gallery
3250,The Heath,40.75068007097989,-74.0041702470047,Lounge
3251,Printed Matter,40.750588592790436,-74.00576429000934,Bookstore
3252,26th Street Viewing Spur,40.749825138037544,-74.00335221209896,Scenic Lookout
3253,Il Piccolo Ristoro,40.750438,-74.00255899999999,Café
3254,Porteño,40.75044311178734,-74.00240689516068,Argentinian Restaurant
3255,Fergus McCaffrey,40.749845483787695,-74.00354920821854,Art Gallery
3256,Yossi Milo Gallery,40.74872837569923,-74.00359590045275,Art Gallery
3257,Chop Shop,40.74880956654446,-74.00341006658152,Chinese Restaurant
3258,Galerie Lelong,40.75026828780914,-74.00436390941832,Art Gallery
3259,Luhring Augustine Gallery,40.74901795983958,-74.00502713220845,Art Gallery
3260,Matthew Marks - W 24th St,40.748965999999996,-74.004579,Art Gallery
3261,BravinLee programs,40.750040371582315,-74.00395863293411,Art Gallery
3262,Ovest Pizzoteca by Luzzo's,40.75074612836044,-74.00292316622759,Pizza Place
3263,Kasmin Gallery,40.75062192174683,-74.00309085845947,Art Gallery
3264,Marlborough Chelsea,40.74964,-74.00443,Art Gallery
3265,Marquee,40.75009748526309,-74.00281424780948,Nightclub
3266,Starbucks,40.75012123722105,-74.00397732719665,Coffee Shop
3267,Marcelo Garcia Brazilian Jiu-Jitsu Academy,40.746564671484286,-73.99627474151909,Martial Arts School
3268,Chelsea Park Barbers,40.74695218240739,-73.99652365509736,Health & Beauty Service
3269,Midtown Tennis Club,40.74753954512485,-73.9969235108266,Tennis Court
3270,Magnet Theater,40.748703,-73.995415,Indie Theater
3271,Bean & Bean Organic Coffee,40.74718876716289,-73.99710018009927,Coffee Shop
3272,OCabanon,40.74860190722061,-73.9946568625565,French Restaurant
3273,Blink Fitness,40.746814872713934,-73.99714359666314,Gym
3274,Taco Bandito,40.747427083280286,-73.99690456030216,Taco Place
3275,City Rooms NYC,40.7486909539779,-73.99593273228015,Hostel
3276,Starbucks,40.747549574689174,-73.99562358856201,Coffee Shop
3277,GNC,40.748453000000005,-73.995767,Supplement Shop
3278,FIT Building A,40.747580547053936,-73.9959251516428,College Academic Building
3279,U-Haul Neighborhood Dealer,40.74862711166512,-73.99613078197115,Storage Facility
3280,City Gourmet Market,40.747761897129294,-73.99654730808197,Deli / Bodega
3281,Songkran Thai Kitchen,40.74752302540041,-73.99680989932727,Thai Restaurant
3282,biricchino,40.7488549,-73.9954826,Italian Restaurant
3283,Kofoo,40.747617940994544,-73.99698011558338,Korean Restaurant
3284,7-Eleven,40.7486514,-73.9958277,Convenience Store
3285,Mission Nightclub,40.74793425253044,-73.99496170439467,Nightclub
3286,Nails & More,40.74774371570092,-73.99629344760062,Nail Salon
3287,Flash Factory,40.7479224456849,-73.99487747409144,Music Venue
3292,Chelsea Fine Foods,40.74658073409234,-73.99741804607106,Restaurant
3293,buybuy BABY,40.7457969321806,-73.9947532117366,Baby Store
3305,iLoveKickboxing,40.74634,-73.9929,Boxing Gym
3306,Rock Star Crystals,40.745633134859375,-73.99350842625121,Miscellaneous Shop
3307,ALT: A Little Taste,40.746854378016735,-73.99244858430174,Café
3308,Sid Gold's Request Room,40.745803749318,-73.99387652367741,Piano Bar
3310,The National Opera Center,40.74764376278695,-73.9931058032815,Performing Arts Venue
3311,Hanamizuki Cafe,40.747436702146906,-73.99184819098195,Japanese Restaurant
3313,Innside New York Nomad,40.745923395099126,-73.99270932140246,Hotel
3315,Dutch Flower Line,40.74701640010685,-73.99268873313407,Flower Shop
3316,Just Salad,40.7463182499471,-73.99400258579057,Salad Place
3317,The Wilson,40.7460204,-73.9927905,Restaurant
3318,Mile High Run Club,40.74341,-73.99027,Gym / Fitness Center
3319,Wellington Hair Spa Inc,40.743586,-73.99333100000001,Spa
3320,Maman,40.74362627711559,-73.99021140882049,Café
3321,Escape The Room NYC,40.74353417699336,-73.99038791656494,General Entertainment
3322,Tacombi Café El Presidente,40.742973,-73.991201,Mexican Restaurant
3323,World Seido Karate Honbu,40.74257565152315,-73.99204160383624,Martial Arts School
3324,Pisillo Italian Panini,40.744566,-73.992868,Sandwich Place
3325,PMT Dance Studio,40.74342444106206,-73.99047374725342,Dance Studio
3326,Johny's Luncheonette,40.74462646654926,-73.99291342861312,Diner
3327,Hill Country Barbecue Market,40.74425871872388,-73.99048055281843,BBQ Joint
3328,Chop Shop II,40.74318327769582,-73.99140298566718,Asian Restaurant
3329,Chick-fil-A,40.7423583,-73.9928843,Fast Food Restaurant
3330,Tappo,40.743270950639015,-73.9917348464953,Pizza Place
3331,Humming Puppy,40.74320720431982,-73.99337849002711,Yoga Studio
3332,Brooklyn Roasting Company,40.742204,-73.991719,Coffee Shop
3333,Fairway Market,40.7445918940299,-73.9915032471721,Grocery Store
3334,Memo Shish Kebab,40.74283322897665,-73.99292758184617,Turkish Restaurant
3335,Paris Baguette,40.742401,-73.992976,Bakery
3336,salons by jc,40.74406812981288,-73.99359266851094,Health & Beauty Service
3337,Body & Pole,40.74575059255085,-73.99168146292683,Gym / Fitness Center
3338,Yoga to the People,40.7457778869765,-73.99166961207493,Yoga Studio
3339,Patent Pending,40.74513348988525,-73.99036092957657,Speakeasy
3340,SoulCycle NoMad,40.74471670714635,-73.98918997482575,Cycle Studio
3341,CrossFit NYC,40.74589871935009,-73.99009029202607,Gym / Fitness Center
3342,Studio 28 Tattoo,40.74619338027337,-73.99093010503752,Tattoo Parlor
3343,My Cooking Party,40.744224195252436,-73.99007917105816,Food
3344,La Mano Pottery,40.74504929240944,-73.99196426752371,Arts & Crafts Store
3345,MADE Hotel,40.746185,-73.989523,Hotel
3346,Noble Plants,40.74618851819284,-73.99084475737624,Flower Shop
3347,Latin American Restaurant,40.74430149894197,-73.99023408998625,Caribbean Restaurant
3348,Melt Shop,40.745008,-73.990883,Sandwich Place
3349,Patent Coffee,40.745248,-73.990268,Café
3350,TasteBuds Kitchen,40.745695481760364,-73.9914293288689,Bakery
3351,Naturopathica Chelsea,40.745346281912845,-73.99266923917081,Spa
3352,The Flatiron Room,40.74449173183035,-73.99054451145527,Lounge
3353,Waldy’s Wood Fired Pizza & Penne,40.745583,-73.990768,Pizza Place
3355,Tropical Plants & Orchids,40.74631040231677,-73.99098129428992,Flower Shop
3356,Oscar Wilde,40.745068610728524,-73.99020833839427,Bar
3357,Hyatt House New York/Chelsea,40.746293,-73.990695,Hotel
3358,The Capitol at Chelsea Rooftop,40.74492264214566,-73.99101933580089,Roof Deck
3359,Good Behavior,40.74614755031164,-73.98950713938797,Bar
3361,One on One Studios,40.74466112640806,-73.98921212718133,Building
3362,Moxy NYC Chelsea,40.74641407492567,-73.99091783530825,Hotel
3363,Cardoncello DiVino,40.745089820505896,-73.99008954561737,Italian Restaurant
3364,Peloton,40.743468986181725,-73.99420536372824,Bike Shop
3365,Rumble,40.74364016153877,-73.99444670529239,Boxing Gym
3366,Iyengar Yoga Institute,40.74312103171785,-73.99529114536165,Yoga Studio
3367,La Maison du Macaron,40.74342660206714,-73.99399734674319,Bakery
3368,Variety Coffee Roasters,40.7452228682156,-73.99459630250931,Coffee Shop
3369,Mantiques Modern,40.74304399405405,-73.99519443939158,Antique Shop
3370,S Factor,40.744610024452165,-73.99681831026936,Gym / Fitness Center
3371,Sportlander Nutrition,40.74452671266401,-73.99661583960865,Sporting Goods Shop
3372,Westside Market,40.743853,-73.995188,Grocery Store
3373,East One Coffee Roasters,40.74385931943051,-73.99556994438171,Coffee Shop
3374,Crunch Fitness,40.74459291621539,-73.9961439371109,Gym / Fitness Center
3375,D is for Doggy,40.74318893254458,-73.99544734736239,Pet Store
3376,Whole Foods Market,40.745057497004666,-73.99554284770052,Grocery Store
3377,SOS Locksmith NYC,40.743087,-73.996365,Locksmith
3378,Barcade,40.74441722547813,-73.99442300926881,Bar
3379,Pet Central,40.744768108117064,-73.99725673002263,Pet Store
3380,Sushi Seki Chelsea,40.74426,-73.99628,Sushi Restaurant
3381,The Copper Still,40.743341987013416,-73.99626040949043,Whisky Bar
3382,Excellent Dumpling House,40.74399464369621,-73.99517941327973,Dumpling Restaurant
3383,Taco Bell Cantina,40.7441815604068,-73.99581978413043,Taco Place
3384,Blick Art Materials,40.7447711,-73.996849,Arts & Crafts Store
3386,Toasties,40.74368570435071,-73.99602910418449,Sandwich Place
3387,Hana Sushi,40.74357402619103,-73.99602022374155,Sushi Restaurant
3388,sweetgreen,40.744803239562856,-73.98863777518272,Salad Place
3389,KazuNori: The Original Hand Roll Bar,40.745156795853866,-73.98821168140111,Japanese Restaurant
3390,The NoMad Bar,40.745056,-73.988289,Cocktail Bar
3391,Stumptown Coffee Roasters,40.745835357994196,-73.98807133259928,Coffee Shop
3392,Lady M Cake Boutique,40.74520860315742,-73.98870258275831,Dessert Shop
3393,Scarpetta,40.744389,-73.985657,Italian Restaurant
3394,The Magician @ Nomad Upstairs,40.74506284258044,-73.98841756974652,Indie Theater
3395,Made Nice,40.74508326235975,-73.9883347374986,Restaurant
3396,Ravagh Persian Grill,40.745610426063124,-73.9856033434057,Persian Restaurant
3397,ilili,40.74427515848144,-73.98756983467932,Lebanese Restaurant
3398,The Library at The NoMad,40.74512452960742,-73.98833043276406,Hotel Bar
3399,Renew Body and Mind Spa,40.74503741990339,-73.9879358403008,Massage Studio
3400,Dig Inn,40.745348,-73.988496,New American Restaurant
3401,Bourke Street Bakery,40.74428590052159,-73.98613108246937,Bakery
3402,Ace Hotel New York,40.74585807964396,-73.98812139191362,Hotel
3403,The NoMad Restaurant,40.744964,-73.988526,American Restaurant
3404,&pizza,40.74520457937066,-73.98823142051697,Pizza Place
3405,Le Labo,40.745773295686504,-73.98790620957887,Cosmetics Shop
3406,Ohm Spa & Lounge,40.74515174490148,-73.98729801177979,Spa
3407,Milk Bar NYC Flagship,40.745820816037686,-73.98839214629743,Dessert Shop
3408,Hortus,40.74551921832626,-73.98658183981865,Korean Restaurant
3409,The Breslin Bar & Dining Room,40.74581012541628,-73.98803194277819,Gastropub
3410,ON,40.74504223553368,-73.98502831444235,Korean Restaurant
3411,Seven Grams Caffé,40.743985,-73.985952,Coffee Shop
3412,The Seville,40.7446423,-73.9855077,Bar
3413,Benno,40.743825,-73.987094,Mediterranean Restaurant
3414,AKT in Motion,40.74552986897266,-73.98838928526743,Gym
3415,Leonelli Focacceria e Pasticceria,40.743859,-73.986982,Bakery
3416,Quality Eats,40.74461093577551,-73.98648372023774,Steakhouse
3417,260samplesale,40.74528486230389,-73.98689012853882,Clothing Store
3418,The James New York-NoMad,40.744641686905915,-73.98554518818855,Hotel
3419,Eataly Flatiron,40.74198696405861,-73.98991319280194,Gourmet Shop
3420,The LEGO Store,40.741978766963655,-73.98989020605042,Toy / Game Store
